S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,769624785,17213632:2003,16777343:49944,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,769624785,17213632:2003,16777343:49944,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,769624796,17213632:2003,16777343:49944,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,769624826,17213632:2003,16777343:49944,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,769624839,17213632:2003,16777343:49944,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,769624839,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    3,    2,ID_INTERNAL_PING,40,769624860,17213632:2003,16777343:49944,65535,0,0,-1,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,769624860,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,769624860,17213632:2003,16777343:49944,65535,-1,0,-1,
Rcv,Nrm,    4,    3,Unknown,472,769624870,17213632:2003,16777343:49944,65535,0,0,2,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,769624870,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_CONNECTED_PONG,72,769624870,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    5,Unknown,472,769624901,17213632:2003,16777343:49944,65535,-1,0,0,
Rcv,Nrm,    5,    4,ID_CONNECTED_PONG,72,769624922,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    6,    4,ID_CONNECTED_PONG,72,769624922,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    7,    4,Unknown,1384,769624922,17213632:2003,16777343:49944,65535,0,0,3,
Snd,Nrm,4294967295,    7,Unknown,304,769624952,17213632:2003,16777343:49944,65535,-1,0,1,
Snd,Nrm,4294967295,    7,Unknown,184,769624952,17213632:2003,16777343:49944,65535,-1,0,2,
Snd,Nrm,4294967295,    7,Unknown,536,769624952,17213632:2003,16777343:49944,65535,-1,0,3,
Snd,Nrm,    6,    8,Unknown,304,769625075,17213632:2003,16777343:49944,65535,-1,0,1,
Snd,Nrm,    7,    8,Unknown,184,769625075,17213632:2003,16777343:49944,65535,-1,0,2,
Snd,Nrm,    8,    8,Unknown,536,769625075,17213632:2003,16777343:49944,65535,-1,0,3,
Rcv,Nrm,    8,    5,ID_INTERNAL_PING,40,769629912,17213632:2003,16777343:49944,65535,0,0,-1,
Snd,Nrm,4294967295,   10,ID_CONNECTED_PONG,72,769629949,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,   11,ID_INTERNAL_PING,40,769629959,17213632:2003,16777343:49944,65535,-1,0,-1,
Rcv,Nrm,    9,    6,ID_CONNECTED_PONG,72,769629978,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,   10,    7,ID_INTERNAL_PING,40,769634915,17213632:2003,16777343:49944,65535,0,0,-1,
Snd,Nrm,4294967295,   14,ID_CONNECTED_PONG,72,769634945,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,   15,ID_INTERNAL_PING,40,769634976,17213632:2003,16777343:49944,65535,-1,0,-1,
Rcv,Nrm,   11,    8,ID_CONNECTED_PONG,72,769634988,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,   12,    9,Unknown,128,769635483,17213632:2003,16777343:49944,65535,0,0,4,
Snd,Nrm,4294967295,   18,Unknown,4368,769635513,17213632:2003,16777343:49944,65535,-1,0,4,
Snd,Nrm,4294967295,   18,Unknown,72,769635513,17213632:2003,16777343:49944,65535,-1,0,5,
Snd,Nrm,4294967295,   19,ID_REPLICA_MANAGER_CONSTRUCTION,528,769635545,17213632:2003,16777343:49944,65535,-1,0,6,
Snd,Nrm,4294967295,   19,ID_REPLICA_MANAGER_CONSTRUCTION,4536,769635545,17213632:2003,16777343:49944,65535,-1,0,7,
Snd,Nrm,4294967295,   20,ID_REPLICA_MANAGER_CONSTRUCTION,4552,769635557,17213632:2003,16777343:49944,65535,-1,0,8,
Snd,Nrm,4294967295,   21,ID_REPLICA_MANAGER_CONSTRUCTION,4488,769635870,17213632:2003,16777343:49944,65535,-1,0,9,
Snd,Nrm,4294967295,   22,ID_REPLICA_MANAGER_CONSTRUCTION,528,769636009,17213632:2003,16777343:49944,65535,-1,0,10,
Snd,Nrm,4294967295,   23,ID_REPLICA_MANAGER_CONSTRUCTION,528,769636021,17213632:2003,16777343:49944,65535,-1,0,11,
Snd,Nrm,4294967295,   23,ID_REPLICA_MANAGER_CONSTRUCTION,528,769636021,17213632:2003,16777343:49944,65535,-1,0,12,
Snd,Nrm,4294967295,   24,ID_REPLICA_MANAGER_CONSTRUCTION,208,769636062,17213632:2003,16777343:49944,65535,-1,0,13,
Snd,Nrm,4294967295,   24,ID_REPLICA_MANAGER_CONSTRUCTION,528,769636062,17213632:2003,16777343:49944,65535,-1,0,14,
Rcv,Nrm,   13,   10,Unknown,216,769636073,17213632:2003,16777343:49944,65535,0,0,5,
Rcv,Nrm,   14,   10,Unknown,216,769636073,17213632:2003,16777343:49944,65535,0,0,6,
Snd,Nrm,4294967295,   25,ID_REPLICA_MANAGER_CONSTRUCTION,1280,769636073,17213632:2003,16777343:49944,65535,-1,0,15,
Snd,Nrm,4294967295,   26,ID_REPLICA_MANAGER_CONSTRUCTION,496,769636103,17213632:2003,16777343:49944,65535,-1,0,16,
Rcv,Nrm,   15,   11,Unknown,216,769636176,17213632:2003,16777343:49944,65535,0,0,7,
Snd,Nrm,4294967295,   28,ID_REPLICA_MANAGER_CONSTRUCTION,1816,769636389,17213632:2003,16777343:49944,65535,-1,0,17,
Snd,Nrm,4294967295,   28,ID_REPLICA_MANAGER_CONSTRUCTION,1480,769636389,17213632:2003,16777343:49944,65535,-1,0,18,
Snd,Nrm,4294967295,   29,ID_REPLICA_MANAGER_CONSTRUCTION,528,769636456,17213632:2003,16777343:49944,65535,-1,0,19,
