S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,769484842,17213632:2003,16777343:49944,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,769484842,17213632:2003,16777343:49944,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,769484853,17213632:2003,16777343:49944,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,769484883,17213632:2003,16777343:49944,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,769484894,17213632:2003,16777343:49944,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,769484894,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    3,    2,ID_INTERNAL_PING,40,769484919,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    4,    2,Unknown,472,769484919,17213632:2003,16777343:49944,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,769484919,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,769484919,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,769484950,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_CONNECTED_PONG,72,769484950,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,769484950,17213632:2003,16777343:49944,65535,-1,0,0,
Rcv,Nrm,    5,    3,ID_CONNECTED_PONG,72,769484970,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,769484970,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,769484970,17213632:2003,16777343:49944,65535,0,0,3,
Snd,Nrm,4294967295,    6,Unknown,304,769485001,17213632:2003,16777343:49944,65535,-1,0,1,
Snd,Nrm,4294967295,    6,Unknown,184,769485001,17213632:2003,16777343:49944,65535,-1,0,2,
Snd,Nrm,4294967295,    6,Unknown,536,769485001,17213632:2003,16777343:49944,65535,-1,0,3,
Rcv,Nrm,    8,    4,ID_INTERNAL_PING,40,769489972,17213632:2003,16777343:49944,65535,0,0,-1,
Snd,Nrm,4294967295,    8,ID_CONNECTED_PONG,72,769490002,17213632:2003,16777343:49944,65535,-1,0,-1,
Snd,Nrm,4294967295,    8,ID_INTERNAL_PING,40,769490002,17213632:2003,16777343:49944,65535,-1,0,-1,
Rcv,Nrm,    9,    5,ID_CONNECTED_PONG,72,769490015,17213632:2003,16777343:49944,65535,0,0,-1,
Rcv,Nrm,   10,    6,Unknown,128,769492132,17213632:2003,16777343:49944,65535,0,0,4,
