S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,633599270,17213632:2002,16777343:49295,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,633599270,17213632:2002,16777343:49295,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,633599282,17213632:2002,16777343:49295,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,633599313,17213632:2002,16777343:49295,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,633599338,17213632:2002,16777343:49295,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,633599338,17213632:2002,16777343:49295,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,633599338,17213632:2002,16777343:49295,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 8f c0


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,633599368,17213632:2002,16777343:49295,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,633599368,17213632:2002,16777343:49295,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 2c 19 00 00 8f c0 00 00 00 00 00 00
		00 33 3b f7 00 44 c0 f0 07 44 c0 f0 07 c0 3e db
		1f 30 f0 bf 00 ae 23 36 01 94 19


Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,633599398,17213632:2002,16777343:49295,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,633599398,17213632:2002,16777343:49295,65535,0,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,633599398,17213632:2002,16777343:49295,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,633599398,17213632:2002,16777343:49295,65535,-1,0,0,
Snd,Nrm,4294967295,    5,ID_CONNECTED_PONG,72,633599429,17213632:2002,16777343:49295,65535,-1,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,633599429,17213632:2002,16777343:49295,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,633599429,17213632:2002,16777343:49295,65535,0,0,3,
Rcv,Nrm,    8,    3,Unknown,64,633599429,17213632:2002,16777343:49295,65535,0,0,4,
data in bytes:
