S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,25330806,17213632:2003,16777343:54427,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,25330806,17213632:2003,16777343:54427,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,25330829,17213632:2003,16777343:54427,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,25330859,17213632:2003,16777343:54427,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,25330870,17213632:2003,16777343:54427,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,25330870,17213632:2003,16777343:54427,65535,0,0,-1,
Rcv,Nrm,    3,    2,ID_INTERNAL_PING,40,25330891,17213632:2003,16777343:54427,65535,0,0,-1,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,25330891,17213632:2003,16777343:54427,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,25330891,17213632:2003,16777343:54427,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,25330902,17213632:2003,16777343:54427,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_CONNECTED_PONG,72,25330902,17213632:2003,16777343:54427,65535,-1,0,-1,
Rcv,Nrm,    4,    3,ID_CONNECTED_PONG,72,25330912,17213632:2003,16777343:54427,65535,0,0,-1,
Rcv,Nrm,    5,    4,ID_CONNECTED_PONG,72,25330933,17213632:2003,16777343:54427,65535,0,0,-1,
Rcv,Nrm,    6,    5,Unknown,472,25331008,17213632:2003,16777343:54427,65535,0,0,2,
Snd,Nrm,4294967295,    8,Unknown,472,25331039,17213632:2003,16777343:54427,65535,-1,0,0,
