S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,15645296,17213632:2002,16777343:52073,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,15645297,17213632:2002,16777343:52073,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,15645306,17213632:2002,16777343:52073,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,15645337,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,15645348,17213632:2002,16777343:52073,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,15645348,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,15645348,17213632:2002,16777343:52073,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 69 cb


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,15645379,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,15645379,17213632:2002,16777343:52073,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 7c 07 00 00 69 cb 00 00 00 00 00 00
		00 33 3b 56 01 34 d4 b4 06 34 d4 b4 06 a0 76 ef
		1e 70 f0 d0 00 ae 23 95 01 74 74


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,15645409,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,15645409,17213632:2002,16777343:52073,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,15645411,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,15645411,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,15645440,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,15645440,17213632:2002,16777343:52073,65535,0,0,3,
Rcv,Nrm,    8,    3,Unknown,64,15645440,17213632:2002,16777343:52073,65535,0,0,4,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,15645440,17213632:2002,16777343:52073,65535,-1,0,-1,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 04 ff ff ff
		ff e0 43 b9 1a 10 95 0d 01 a0 ae 5d 05 08 f0 d0
		00 a0 ae 5d 05 9c 99 b9 1a e0 43 b9 1a 00 00 00
		00 30 c9 b5 0b b0 7e 32 01 28 30 20 39 20 34 20
		65 20 37 20 30 20 31 20 61 20 63 20 33 20 62 20
		35 20 35 20 32 20 30 20 62 20 34 20 37 20 38 20
		39 20 35 20 62 20 33 20 31 20 38 20 35 20 37 20
		62 20 66 20 31 20 63 20 33 20 00 00 39 33 66 62
		33 33 62 36 34 35 33 63 61 64 35 65 32 62 65 35
		33 64 61 36 65 39 36 38 39 34 63 61 01


data in bytes:
		53 04 00 02 00 00 00 00


Snd,Nrm,4294967295,    7,Unknown,80,15645531,17213632:2002,16777343:52073,65535,-1,0,1,
Rcv,Nrm,    9,    4,ID_INTERNAL_PING,40,15650424,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,    9,ID_CONNECTED_PONG,72,15650455,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   10,ID_INTERNAL_PING,40,15650547,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   10,    5,ID_CONNECTED_PONG,72,15650561,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   11,    6,ID_INTERNAL_PING,40,15655425,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   13,ID_CONNECTED_PONG,72,15655456,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   14,ID_INTERNAL_PING,40,15655548,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   12,    7,ID_CONNECTED_PONG,72,15655562,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   13,    8,ID_INTERNAL_PING,40,15660427,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   17,ID_CONNECTED_PONG,72,15660457,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   18,ID_INTERNAL_PING,40,15660549,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   14,    9,ID_CONNECTED_PONG,72,15660562,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   15,   10,ID_INTERNAL_PING,40,15665436,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   21,ID_CONNECTED_PONG,72,15665467,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   22,ID_INTERNAL_PING,40,15665566,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   16,   11,ID_CONNECTED_PONG,72,15665581,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   17,   12,ID_INTERNAL_PING,40,15670442,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   25,ID_CONNECTED_PONG,72,15670473,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   26,ID_INTERNAL_PING,40,15670569,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   18,   13,ID_CONNECTED_PONG,72,15670589,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   19,   14,ID_INTERNAL_PING,40,15675452,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   29,ID_CONNECTED_PONG,72,15675483,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   30,ID_INTERNAL_PING,40,15675577,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   20,   15,ID_CONNECTED_PONG,72,15675591,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   21,   16,ID_INTERNAL_PING,40,15680465,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   33,ID_CONNECTED_PONG,72,15680495,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   34,ID_INTERNAL_PING,40,15680597,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   22,   17,ID_CONNECTED_PONG,72,15680612,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   23,   18,ID_INTERNAL_PING,40,15685473,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   37,ID_CONNECTED_PONG,72,15685506,17213632:2002,16777343:52073,65535,-1,0,-1,
Snd,Nrm,4294967295,   38,ID_INTERNAL_PING,40,15685620,17213632:2002,16777343:52073,65535,-1,0,-1,
Rcv,Nrm,   24,   19,ID_CONNECTED_PONG,72,15685636,17213632:2002,16777343:52073,65535,0,0,-1,
Rcv,Nrm,   25,   20,ID_INTERNAL_PING,40,15690480,17213632:2002,16777343:52073,65535,0,0,-1,
Snd,Nrm,4294967295,   41,ID_CONNECTED_PONG,72,15690510,17213632:2002,16777343:52073,65535,-1,0,-1,
