S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,16219598,17213632:2002,16777343:49759,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,16219599,17213632:2002,16777343:49759,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,16219608,17213632:2002,16777343:49759,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,16219638,17213632:2002,16777343:49759,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,16219650,17213632:2002,16777343:49759,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,16219650,17213632:2002,16777343:49759,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,16219650,17213632:2002,16777343:49759,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 5f c2


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,16219681,17213632:2002,16777343:49759,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,16219681,17213632:2002,16777343:49759,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 40 1c 00 00 5f c2 00 00 00 00 00 00
		00 33 3b 56 01 b4 ea 4e 08 b4 ea 4e 08 60 11 5a
		1e f0 f2 b3 00 ae 23 95 01 a4 1f


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,16219711,17213632:2002,16777343:49759,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,16219711,17213632:2002,16777343:49759,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,16219714,17213632:2002,16777343:49759,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,16219714,17213632:2002,16777343:49759,65535,0,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,16219736,17213632:2002,16777343:49759,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,16219736,17213632:2002,16777343:49759,65535,0,0,3,
Rcv,Nrm,    8,    3,Unknown,64,16219736,17213632:2002,16777343:49759,65535,0,0,4,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,16219736,17213632:2002,16777343:49759,65535,-1,0,-1,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 02 ff ff ff
