S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,532153786,17213632:2002,16777343:56760,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,532153786,17213632:2002,16777343:56760,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,532153797,17213632:2002,16777343:56760,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,532153827,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,532153839,17213632:2002,16777343:56760,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,532153839,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,    3,    2,ID_INTERNAL_PING,40,532153860,17213632:2002,16777343:56760,65535,0,0,-1,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,532153860,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,532153860,17213632:2002,16777343:56760,65535,-1,0,-1,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 b8 dd


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,532153871,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_CONNECTED_PONG,72,532153871,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,    4,    3,ID_CONNECTED_PONG,72,532153881,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,    5,    4,ID_CONNECTED_PONG,72,532153902,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,    6,    5,Unknown,472,532154312,17213632:2002,16777343:56760,65535,0,0,2,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 a8 2c 00 00 b8 dd 00 1b 00 40 c8 33
		0b d4 f1 8f 08 d4 f1 8f 08 d4 f1 8f 08 40 c8 33
		0b b0 f7 1b 00 ae 23 3b 01 34 74


Snd,Nrm,4294967295,    8,Unknown,472,532154424,17213632:2002,16777343:56760,65535,-1,0,0,
Rcv,Nrm,    7,    6,Unknown,1384,532154438,17213632:2002,16777343:56760,65535,0,0,3,
Rcv,Nrm,    8,    6,Unknown,64,532154438,17213632:2002,16777343:56760,65535,0,0,4,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 04 ff ff ff
		ff e0 53 99 1a 10 95 30 00 08 e9 8f 08 48 f7 1b
		00 08 e9 8f 08 9c a9 99 1a e0 53 99 1a 00 00 00
		00 60 7d 2d 0b b0 7e d8 00 f8 30 2e 39 2e 34 2e
		65 2e 37 2e 30 2e 31 2e 61 2e 63 2e 33 2e 62 2e
		35 2e 35 2e 32 2e 30 2e 62 2e 34 2e 37 2e 38 2e
		39 2e 35 2e 62 2e 33 2e 31 2e 38 2e 35 2e 37 2e
		62 2e 66 2e 31 2e 63 2e 33 2e 00 00 39 33 66 62
		33 33 62 36 34 35 33 63 61 64 35 65 32 62 65 35
		33 64 61 36 65 39 36 38 39 34 63 61 01


Snd,Nrm,4294967295,   10,Unknown,7792,532154470,17213632:2002,16777343:56760,65535,-1,0,1,
data in bytes:
		53 04 00 02 00 00 00 00


Rcv,Nrm,    9,    7,ID_INTERNAL_PING,40,532159442,17213632:2002,16777343:56760,65535,0,0,-1,
Snd,Nrm,4294967295,   12,ID_CONNECTED_PONG,72,532159472,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,   12,ID_INTERNAL_PING,40,532159472,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,   10,    8,ID_CONNECTED_PONG,72,532159484,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,   11,    9,ID_INTERNAL_PING,40,532164446,17213632:2002,16777343:56760,65535,0,0,-1,
Snd,Nrm,4294967295,   15,ID_CONNECTED_PONG,72,532164476,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,   15,ID_INTERNAL_PING,40,532164476,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,   12,   10,ID_CONNECTED_PONG,72,532164497,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,   13,   11,ID_INTERNAL_PING,40,532169448,17213632:2002,16777343:56760,65535,0,0,-1,
Snd,Nrm,4294967295,   18,ID_CONNECTED_PONG,72,532169478,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,   18,ID_INTERNAL_PING,40,532169478,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,   14,   12,ID_CONNECTED_PONG,72,532169491,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,   15,   13,ID_INTERNAL_PING,40,532174452,17213632:2002,16777343:56760,65535,0,0,-1,
Snd,Nrm,4294967295,   21,ID_CONNECTED_PONG,72,532174482,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,   21,ID_INTERNAL_PING,40,532174482,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,   16,   14,ID_CONNECTED_PONG,72,532174494,17213632:2002,16777343:56760,65535,0,0,-1,
Rcv,Nrm,   17,   15,ID_INTERNAL_PING,40,532179455,17213632:2002,16777343:56760,65535,0,0,-1,
Snd,Nrm,4294967295,   24,ID_CONNECTED_PONG,72,532179485,17213632:2002,16777343:56760,65535,-1,0,-1,
Snd,Nrm,4294967295,   24,ID_INTERNAL_PING,40,532179485,17213632:2002,16777343:56760,65535,-1,0,-1,
Rcv,Nrm,   18,   16,ID_CONNECTED_PONG,72,532179498,17213632:2002,16777343:56760,65535,0,0,-1,
