S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,10836443,17213632:2002,16777343:52975,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,10836443,17213632:2002,16777343:52975,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,10836457,17213632:2002,16777343:52975,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,10836490,17213632:2002,16777343:52975,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,10836508,17213632:2002,16777343:52975,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,10836508,17213632:2002,16777343:52975,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,10836508,17213632:2002,16777343:52975,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 ef ce


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,10836539,17213632:2002,16777343:52975,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,10836539,17213632:2002,16777343:52975,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 d0 02 00 00 ef ce 00 00 00 00 00 00
		00 33 3b 36 00 fc ec 22 06 fc ec 22 06 80 fb 2d
		1f b0 f5 9b 01 ae 23 75 00 34 d7


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,10836569,17213632:2002,16777343:52975,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,10836569,17213632:2002,16777343:52975,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,10836573,17213632:2002,16777343:52975,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,10836573,17213632:2002,16777343:52975,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,10836602,17213632:2002,16777343:52975,65535,-1,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,10836604,17213632:2002,16777343:52975,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,10836604,17213632:2002,16777343:52975,65535,0,0,3,
Rcv,Nrm,    8,    3,Unknown,64,10836604,17213632:2002,16777343:52975,65535,0,0,4,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 01 ff ff ff
		ff e0 d3 b3 1a 10 95 c0 01 18 7a 60 07 48 f5 9b
