S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,794870379,17213632:2002,16777343:60655,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,794870379,17213632:2002,16777343:60655,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,794870391,17213632:2002,16777343:60655,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,794870422,17213632:2002,16777343:60655,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,794870435,17213632:2002,16777343:60655,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,794870435,17213632:2002,16777343:60655,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,794870435,17213632:2002,16777343:60655,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 ef ec


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,794870465,17213632:2002,16777343:60655,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,794870465,17213632:2002,16777343:60655,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 94 0e 00 00 ef ec 00 00 00 00 00 00
		00 33 3b 54 00 f4 0c 2c 08 f4 0c 2c 08 20 fd b6
		11 70 f4 b9 01 ae 23 93 00 b4 93


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,794870495,17213632:2002,16777343:60655,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,794870495,17213632:2002,16777343:60655,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,794870497,17213632:2002,16777343:60655,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,794870497,17213632:2002,16777343:60655,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,794870527,17213632:2002,16777343:60655,65535,-1,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,794870528,17213632:2002,16777343:60655,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,794870528,17213632:2002,16777343:60655,65535,0,0,3,
Rcv,Nrm,    8,    3,Unknown,64,794870528,17213632:2002,16777343:60655,65535,0,0,4,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 01 52 2e 59
		02 e0 43 e9 19 10 95 61 02 08 34 7e 07 08 f4 b9
		01 08 34 7e 07 9c 99 e9 19 e0 43 e9 19 00 00 00
		00 9a 7c 5f 02 00 00 00 00 40 30 20 39 20 34 20
		65 20 37 20 30 20 31 20 61 20 63 20 33 20 62 20
		35 20 35 20 32 20 30 20 62 20 34 20 37 20 38 20
		39 20 35 20 62 20 33 20 31 20 38 20 35 20 37 20
		62 20 66 20 31 20 63 20 33 20 00 00 39 33 66 62
		33 33 62 36 34 35 33 63 61 64 35 65 32 62 65 35
		33 64 61 36 65 39 36 38 39 34 63 61 00


Snd,Nrm,4294967295,    8,Unknown,1808,794870559,17213632:2002,16777343:60655,65535,-1,0,1,
data in bytes:
		53 04 00 02 00 00 00 00


Rcv,Nrm,    9,    4,ID_INTERNAL_PING,40,794875523,17213632:2002,16777343:60655,65535,0,0,-1,
Snd,Nrm,4294967295,   10,ID_CONNECTED_PONG,72,794875554,17213632:2002,16777343:60655,65535,-1,0,-1,
Snd,Nrm,4294967295,   11,ID_INTERNAL_PING,40,794875585,17213632:2002,16777343:60655,65535,-1,0,-1,
Rcv,Nrm,   10,    5,ID_CONNECTED_PONG,72,794875597,17213632:2002,16777343:60655,65535,0,0,-1,
Rcv,Nrm,   11,    6,ID_DISCONNECTION_NOTIFICATION,8,794879054,17213632:2002,16777343:60655,65535,0,0,5,
data in bytes:
		13


Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,794937759,17213632:2002,16777343:60025,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,794937759,17213632:2002,16777343:60025,-1,-1,-1,-1,
