S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,451054698,17213632:1001,16777343:61671,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,451054698,17213632:1001,16777343:61671,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,451054708,17213632:1001,16777343:61671,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,451054738,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,451054750,17213632:1001,16777343:61671,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,451054750,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,451054750,17213632:1001,16777343:61671,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 e9 03 c0 a8 06 01 e7 f0


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,451054780,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,451054780,17213632:1001,16777343:61671,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 44 15 00 00 e7 f0 00 00 00 00 00 00
		00 00 77 01 00 84 53 ae 08 84 53 ae 08 40 bf e9
		1e 30 f3 d8 00 ae 23 8c 01 1c 05


Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,451054811,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,451054811,17213632:1001,16777343:61671,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,451054814,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,451054814,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,451054844,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,451054847,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    7,    4,ID_INTERNAL_PING,40,451059762,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,    9,ID_CONNECTED_PONG,72,451059792,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,   10,ID_INTERNAL_PING,40,451059825,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,    8,    5,ID_CONNECTED_PONG,72,451059836,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,    9,    6,ID_INTERNAL_PING,40,451064771,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,   13,ID_CONNECTED_PONG,72,451064803,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,   14,ID_INTERNAL_PING,40,451064843,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,   10,    7,ID_CONNECTED_PONG,72,451064854,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,   11,    8,ID_INTERNAL_PING,40,451069772,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,   17,ID_CONNECTED_PONG,72,451069802,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,   18,ID_INTERNAL_PING,40,451069864,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,   12,    9,ID_CONNECTED_PONG,72,451069883,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,   13,   10,ID_INTERNAL_PING,40,451074778,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,   21,ID_CONNECTED_PONG,72,451074808,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,   22,ID_INTERNAL_PING,40,451074870,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,   14,   11,ID_CONNECTED_PONG,72,451074883,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,   15,   12,ID_INTERNAL_PING,40,451079781,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,   25,ID_CONNECTED_PONG,72,451079811,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,   26,ID_INTERNAL_PING,40,451079873,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,   16,   13,ID_CONNECTED_PONG,72,451079885,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,   17,   14,ID_INTERNAL_PING,40,451084785,17213632:1001,16777343:61671,65535,0,0,-1,
Snd,Nrm,4294967295,   29,ID_CONNECTED_PONG,72,451084815,17213632:1001,16777343:61671,65535,-1,0,-1,
Snd,Nrm,4294967295,   30,ID_INTERNAL_PING,40,451084886,17213632:1001,16777343:61671,65535,-1,0,-1,
Rcv,Nrm,   18,   15,ID_CONNECTED_PONG,72,451084900,17213632:1001,16777343:61671,65535,0,0,-1,
Rcv,Nrm,   19,   16,ID_INTERNAL_PING,40,451089790,17213632:1001,16777343:61671,65535,0,0,-1,
