S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,17830778,17213632:2002,16777343:53304,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,17830778,17213632:2002,16777343:53304,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,17830787,17213632:2002,16777343:53304,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,17830817,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,17830831,17213632:2002,16777343:53304,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,17830831,17213632:2002,16777343:53304,65535,0,0,-1,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 38 d0


Rcv,Nrm,    3,    2,ID_INTERNAL_PING,40,17830850,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,    4,    2,Unknown,472,17830850,17213632:2002,16777343:53304,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,17830851,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,17830851,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,17830880,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_CONNECTED_PONG,72,17830880,17213632:2002,16777343:53304,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 d0 16 00 00 38 d0 00 00 00 00 00 00
		00 33 3b 5a 00 fc 1c 05 08 fc 1c 05 08 c0 3d 64
		1e f0 f7 1b 00 ae 23 99 00 ec 40


Rcv,Nrm,    5,    3,ID_CONNECTED_PONG,72,17830896,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,17830896,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,    6,Unknown,472,17830925,17213632:2002,16777343:53304,65535,-1,0,0,
Rcv,Nrm,    7,    4,Unknown,1384,17830948,17213632:2002,16777343:53304,65535,0,0,3,
Rcv,Nrm,    8,    4,Unknown,64,17830948,17213632:2002,16777343:53304,65535,0,0,4,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 1b 78 b5 29
		00 e0 93 fa 19 10 95 b0 01 70 47 5a 07 88 f7 1b
		00 70 47 5a 07 9c e9 fa 19 e0 93 fa 19 00 00 00
		00 cc 2e a8 01 f8 bc 33 1b 01 30 20 39 20 34 20
		65 20 37 20 30 20 31 20 61 20 63 20 33 20 62 20
		35 20 35 20 32 20 30 20 62 20 34 20 37 20 38 20
		39 20 35 20 62 20 33 20 31 20 38 20 35 20 37 20
		62 20 66 20 31 20 63 20 33 20 00 00 39 33 66 62
		33 33 62 36 34 35 33 63 61 64 35 65 32 62 65 35
		33 64 61 36 65 39 36 38 39 34 63 61 00


Snd,Nrm,4294967295,    8,Unknown,80,17831007,17213632:2002,16777343:53304,65535,-1,0,1,
data in bytes:
		53 04 00 02 00 00 00 00


Rcv,Nrm,    9,    5,ID_INTERNAL_PING,40,17835955,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   10,ID_CONNECTED_PONG,72,17835987,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   11,ID_INTERNAL_PING,40,17836012,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   10,    6,ID_CONNECTED_PONG,72,17836036,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   11,    7,ID_INTERNAL_PING,40,17840951,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   14,ID_CONNECTED_PONG,72,17840981,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   15,ID_INTERNAL_PING,40,17841042,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   12,    8,ID_CONNECTED_PONG,72,17841063,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   13,    9,ID_INTERNAL_PING,40,17845963,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   18,ID_CONNECTED_PONG,72,17845997,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   19,ID_INTERNAL_PING,40,17846066,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   14,   10,ID_CONNECTED_PONG,72,17846088,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   15,   11,ID_INTERNAL_PING,40,17850966,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   22,ID_CONNECTED_PONG,72,17850995,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   23,ID_INTERNAL_PING,40,17851086,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   16,   12,ID_CONNECTED_PONG,72,17851107,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   17,   13,ID_INTERNAL_PING,40,17855975,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   26,ID_CONNECTED_PONG,72,17856005,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   27,ID_INTERNAL_PING,40,17856100,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   18,   14,ID_CONNECTED_PONG,72,17856119,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   19,   15,ID_INTERNAL_PING,40,17860982,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   30,ID_CONNECTED_PONG,72,17861012,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   31,ID_INTERNAL_PING,40,17861110,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   20,   16,ID_CONNECTED_PONG,72,17861129,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   21,   17,ID_INTERNAL_PING,40,17865984,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   34,ID_CONNECTED_PONG,72,17866015,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   35,ID_INTERNAL_PING,40,17866137,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   22,   18,ID_CONNECTED_PONG,72,17866150,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   23,   19,ID_INTERNAL_PING,40,17870984,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   38,ID_CONNECTED_PONG,72,17871015,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   39,ID_INTERNAL_PING,40,17871142,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   24,   20,ID_CONNECTED_PONG,72,17871163,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   25,   21,ID_INTERNAL_PING,40,17876030,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   42,ID_CONNECTED_PONG,72,17876040,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   43,ID_INTERNAL_PING,40,17876149,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   26,   22,ID_CONNECTED_PONG,72,17876162,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   27,   23,ID_INTERNAL_PING,40,17880998,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   46,ID_CONNECTED_PONG,72,17881029,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   47,ID_INTERNAL_PING,40,17881175,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   28,   24,ID_CONNECTED_PONG,72,17881194,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   29,   25,ID_INTERNAL_PING,40,17886014,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   50,ID_CONNECTED_PONG,72,17886014,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   51,ID_INTERNAL_PING,40,17886180,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   30,   26,ID_CONNECTED_PONG,72,17886197,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   31,   27,ID_INTERNAL_PING,40,17891015,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   54,ID_CONNECTED_PONG,72,17891079,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   55,ID_INTERNAL_PING,40,17891182,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   32,   28,ID_CONNECTED_PONG,72,17891196,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   33,   29,ID_INTERNAL_PING,40,17896039,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   57,ID_CONNECTED_PONG,72,17896082,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   58,ID_INTERNAL_PING,40,17896209,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   34,   30,ID_CONNECTED_PONG,72,17896231,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   35,   31,ID_INTERNAL_PING,40,17901032,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   60,ID_CONNECTED_PONG,72,17901062,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   61,ID_INTERNAL_PING,40,17901239,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   36,   32,ID_CONNECTED_PONG,72,17901252,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   37,   33,ID_INTERNAL_PING,40,17906040,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   63,ID_CONNECTED_PONG,72,17906070,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   64,ID_INTERNAL_PING,40,17906250,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   38,   34,ID_CONNECTED_PONG,72,17906275,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   39,   35,ID_INTERNAL_PING,40,17911049,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   66,ID_CONNECTED_PONG,72,17911049,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   67,ID_INTERNAL_PING,40,17911265,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   40,   36,ID_CONNECTED_PONG,72,17911283,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   41,   37,ID_INTERNAL_PING,40,17916050,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   69,ID_CONNECTED_PONG,72,17916083,17213632:2002,16777343:53304,65535,-1,0,-1,
Snd,Nrm,4294967295,   70,ID_INTERNAL_PING,40,17916280,17213632:2002,16777343:53304,65535,-1,0,-1,
Rcv,Nrm,   42,   38,ID_CONNECTED_PONG,72,17916296,17213632:2002,16777343:53304,65535,0,0,-1,
Rcv,Nrm,   43,   39,ID_INTERNAL_PING,40,17921050,17213632:2002,16777343:53304,65535,0,0,-1,
Snd,Nrm,4294967295,   72,ID_CONNECTED_PONG,72,17921080,17213632:2002,16777343:53304,65535,-1,0,-1,
