S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,8388004,117549248:2003,16777343:54386,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,8388004,117549248:2003,16777343:54386,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,8388014,117549248:2003,16777343:54386,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,8388044,117549248:2003,16777343:54386,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,8388054,117549248:2003,16777343:54386,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,8388054,117549248:2003,16777343:54386,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,8388054,117549248:2003,16777343:54386,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,8388084,117549248:2003,16777343:54386,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,8388084,117549248:2003,16777343:54386,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,8388114,117549248:2003,16777343:54386,65535,-1,0,-1,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,8388118,117549248:2003,16777343:54386,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,8388118,117549248:2003,16777343:54386,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,8388148,117549248:2003,16777343:54386,65535,-1,0,-1,
Snd,Nrm,4294967295,    6,Unknown,472,8388148,117549248:2003,16777343:54386,65535,-1,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,8388148,117549248:2003,16777343:54386,65535,0,0,-1,
Rcv,Nrm,    7,    4,Unknown,1384,8388188,117549248:2003,16777343:54386,65535,0,0,3,
Snd,Nrm,4294967295,    9,Unknown,304,8388248,117549248:2003,16777343:54386,65535,-1,0,1,
Snd,Nrm,4294967295,    9,Unknown,184,8388248,117549248:2003,16777343:54386,65535,-1,0,2,
Snd,Nrm,4294967295,    9,Unknown,536,8388248,117549248:2003,16777343:54386,65535,-1,0,3,
Rcv,Nrm,    8,    5,Unknown,128,8389521,117549248:2003,16777343:54386,65535,0,0,4,
Snd,Nrm,4294967295,   11,Unknown,11536,8389551,117549248:2003,16777343:54386,0,0,14,4,
Snd,Nrm,4294967295,   12,(SPLIT PACKET),11536,8389551,117549248:2003,16777343:54386,0,1,14,4,
Snd,Nrm,4294967295,   13,(SPLIT PACKET),11536,8389551,117549248:2003,16777343:54386,0,2,14,4,
Snd,Nrm,4294967295,   14,(SPLIT PACKET),11536,8389551,117549248:2003,16777343:54386,0,3,14,4,
Snd,Nrm,4294967295,   15,(SPLIT PACKET),11536,8389561,117549248:2003,16777343:54386,0,4,14,4,
Snd,Nrm,4294967295,   16,(SPLIT PACKET),11536,8389571,117549248:2003,16777343:54386,0,5,14,4,
Snd,Nrm,4294967295,   17,(SPLIT PACKET),11536,8389581,117549248:2003,16777343:54386,0,6,14,4,
Snd,Nrm,4294967295,   18,(SPLIT PACKET),11536,8389591,117549248:2003,16777343:54386,0,7,14,4,
Snd,Nrm,4294967295,   19,(SPLIT PACKET),11536,8389601,117549248:2003,16777343:54386,0,8,14,4,
Snd,Nrm,4294967295,   20,(SPLIT PACKET),11536,8389611,117549248:2003,16777343:54386,0,9,14,4,
Snd,Nrm,4294967295,   21,(SPLIT PACKET),11536,8389621,117549248:2003,16777343:54386,0,10,14,4,
Snd,Nrm,4294967295,   22,(SPLIT PACKET),11536,8389631,117549248:2003,16777343:54386,0,11,14,4,
Snd,Nrm,4294967295,   23,(SPLIT PACKET),11536,8389641,117549248:2003,16777343:54386,0,12,14,4,
Snd,Nrm,4294967295,   24,(SPLIT PACKET),5264,8389651,117549248:2003,16777343:54386,0,13,14,4,
Snd,Nrm,4294967295,   24,Unknown,72,8389651,117549248:2003,16777343:54386,65535,-1,0,5,
Snd,Nrm,4294967295,   24,ID_REPLICA_MANAGER_CONSTRUCTION,5248,8389651,117549248:2003,16777343:54386,65535,-1,0,6,
Snd,Nrm,4294967295,   24,Unknown,144,8389651,117549248:2003,16777343:54386,65535,-1,0,7,
Snd,Nrm,4294967295,   24,Unknown,184,8389651,117549248:2003,16777343:54386,65535,-1,0,8,
Snd,Nrm,4294967295,   24,Unknown,144,8389651,117549248:2003,16777343:54386,65535,-1,0,9,
Snd,Nrm,4294967295,   25,Unknown,312,8389661,117549248:2003,16777343:54386,65535,-1,0,10,
Rcv,Nrm,    9,    6,Unknown,216,8389926,117549248:2003,16777343:54386,65535,0,0,5,
Rcv,Nrm,   10,    6,Unknown,216,8389926,117549248:2003,16777343:54386,65535,0,0,6,
Rcv,Nrm,   11,    6,Unknown,216,8389926,117549248:2003,16777343:54386,65535,0,0,7,
Rcv,Nrm,   12,    7,Unknown,144,8389929,117549248:2003,16777343:54386,65535,0,0,8,
Rcv,Nrm,   13,    7,Unknown,144,8389929,117549248:2003,16777343:54386,65535,0,0,9,
Rcv,Nrm,   14,    7,Unknown,144,8389929,117549248:2003,16777343:54386,65535,0,0,10,
Rcv,Nrm,   15,    7,Unknown,144,8389929,117549248:2003,16777343:54386,65535,0,0,11,
Rcv,Nrm,   16,    7,Unknown,144,8389929,117549248:2003,16777343:54386,65535,0,0,12,
Rcv,Nrm,   17,    7,Unknown,144,8389929,117549248:2003,16777343:54386,65535,0,0,13,
Rcv,Nrm,   18,    7,Unknown,152,8389929,117549248:2003,16777343:54386,65535,0,0,14,
Rcv,Nrm,   19,    8,Unknown,208,8390162,117549248:2003,16777343:54386,65535,0,0,15,
Rcv,Nrm,   20,    9,Unknown,208,8390788,117549248:2003,16777343:54386,65535,0,0,16,
Rcv,Nrm,   21,   10,Unknown,184,8390888,117549248:2003,16777343:54386,65535,0,0,17,
Rcv,Nrm,   22,   11,Unknown,456,8391272,117549248:2003,16777343:54386,65535,0,0,18,
Rcv,Nrm,   23,   12,Unknown,552,8393438,117549248:2003,16777343:54386,65535,0,0,19,
Rcv,Nrm,   24,   13,Unknown,552,8393652,117549248:2003,16777343:54386,65535,0,0,20,
Rcv,Nrm,   25,   14,Unknown,552,8393892,117549248:2003,16777343:54386,65535,0,0,21,
Rcv,Nrm,   26,   15,Unknown,456,8394092,117549248:2003,16777343:54386,65535,0,0,22,
Rcv,Nrm,   27,   16,Unknown,744,8394372,117549248:2003,16777343:54386,65535,0,0,23,
Snd,Nrm,4294967295,   37,ID_INTERNAL_PING,40,8394552,117549248:2003,16777343:54386,65535,-1,0,-1,
Rcv,Nrm,   28,   17,ID_CONNECTED_PONG,72,8394572,117549248:2003,16777343:54386,65535,0,0,-1,
Rcv,Nrm,   29,   18,Unknown,744,8394584,117549248:2003,16777343:54386,65535,0,0,24,
