S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,11586925,352387082:2003,16777343:52379,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,11586925,352387082:2003,16777343:52379,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,11586935,352387082:2003,16777343:52379,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,11586965,352387082:2003,16777343:52379,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,11586985,352387082:2003,16777343:52379,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,11586985,352387082:2003,16777343:52379,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,11586985,352387082:2003,16777343:52379,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,11587015,352387082:2003,16777343:52379,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,11587015,352387082:2003,16777343:52379,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,11587045,352387082:2003,16777343:52379,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,11587045,352387082:2003,16777343:52379,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,11587045,352387082:2003,16777343:52379,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,11587045,352387082:2003,16777343:52379,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,11587075,352387082:2003,16777343:52379,65535,-1,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,11587075,352387082:2003,16777343:52379,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,11587075,352387082:2003,16777343:52379,65535,0,0,3,
Snd,Nrm,4294967295,    8,Unknown,304,11587105,352387082:2003,16777343:52379,65535,-1,0,1,
Rcv,Nrm,    8,    4,Unknown,128,11590106,352387082:2003,16777343:52379,65535,0,0,4,
Snd,Nrm,4294967295,   10,Unknown,11536,11590166,352387082:2003,16777343:52379,0,0,14,2,
Snd,Nrm,4294967295,   11,(SPLIT PACKET),11536,11590166,352387082:2003,16777343:52379,0,1,14,2,
Snd,Nrm,4294967295,   12,(SPLIT PACKET),11536,11590166,352387082:2003,16777343:52379,0,2,14,2,
Snd,Nrm,4294967295,   13,(SPLIT PACKET),11536,11590197,352387082:2003,16777343:52379,0,3,14,2,
